OUTCOME_CONCEPT_ID,REACTION_NAME
35104730,Hilar lymphadenopathy
35204967,Cardiac arrest neonatal
35607333,Vitreous degeneration
36718597,Spinal claudication
37520630,Ankle arthroplasty
35707648,TOOTH DEPOSIT
35808806,APPLICATION SITE HYPERSENSITIVITY
36313251,Mean cell haemoglobin concentration decreased
36718389,Aura
35708113,Post procedural constipation
37520635,Arthroscopic surgery
43053758,Mycotic endophthalmitis
35909625,HEPATOTOXICITY
37119485,BREAST DISCHARGE
37320229,LENTIGO
36211476,CIRCUMSTANCE OR INFORMATION CAPABLE OF LEADING TO MEDICATION ERROR
35808818,APPLICATION SITE PAPULES
37119626,GENITAL ULCERATION
37520928,LAPAROTOMY
37019317,POSTRENAL FAILURE
42890379,TRANSIENT GLOBAL AMNESIA
37019288,GLOMERULONEPHRITIS RAPIDLY PROGRESSIVE
42889636,FOETAL EXPOSURE DURING PREGNANCY
36312566,Blood alkaline phosphatase abnormal
36818754,Neonatal aspiration
36416673,HYPERCREATINAEMIA
37019404,STRESS URINARY INCONTINENCE
35305398,CONGENITAL CORONARY ARTERY MALFORMATION
36516785,Palindromic rheumatism
36110661,Ecthyma
37320118,Scar pain
45885785,Brain empyema
35305681,Congenital intestinal malformation
42890650,IMPAIRED REASONING
36818845,Unwanted pregnancy
35708444,Small intestine carcinoma
35205269,Shoshin beriberi
35909584,Hepatitis infectious
35306227,CONGENITAL TRACHEOMALACIA
35809066,MATERNAL DEATH AFFECTING FOETUS
35305680,ADENOMATOUS POLYPOSIS COLI
35708654,Peritoneal abscess
36516875,Diaphragm muscle weakness
36312572,Blood lactate dehydrogenase decreased
37220013,Vasomotor rhinitis
36516915,NOSE DEFORMITY
36110427,DERMATOPHYTOSIS
37521946,Tenotomy
37119611,PROSTATIC CALCIFICATION
37520617,REMOVAL OF INTERNAL FIXATION
35607176,CONJUNCTIVAL ABRASION
42890370,BLADDER NECK SUSPENSION
36516737,Dental alveolar anomaly
37420405,Occupational problem environmental
35506625,GLUCOSE TOLERANCE IMPAIRED IN PREGNANCY
35707960,GASTROINTESTINAL INFECTION
35809130,FLUSHING
35708746,GLOSSODYNIA
35707854,OESOPHAGEAL VARICES HAEMORRHAGE
35809146,MOBILITY DECREASED
37219831,INTERSTITIAL LUNG DISEASE
35809079,MALAISE
35708221,ILEAL STENOSIS
35707871,UPPER GASTROINTESTINAL HAEMORRHAGE
35809207,MUCOSAL INFLAMMATION
35909441,CHOLECYSTITIS
36516927,LUMBAR SPINAL STENOSIS
36919098,ABNORMAL BEHAVIOUR
35708640,MOUTH ULCERATION
36919234,SUICIDAL BEHAVIOUR
36818634,ABORTION SPONTANEOUS
