DRUG_ID,REACTION_1,REACTION_2,N11,N10,N01,N00,odds_ratio,p_adj,significant
722424,35809005,37320120,14,2327,104,50783,2.937762388020231,0.001076955308486396,True
722424,35809005,36918858,204,2137,1753,49134,2.6756287303188517,6.733935621296831e-29,True
722424,35809005,35809084,29,2312,263,50624,2.4144091991527095,7.955607769514349e-05,True
722424,35809005,36918860,37,2304,452,50435,1.791896163655359,0.0016259535911033426,True
722424,35809005,35809138,446,1895,3889,46998,2.844245490460544,2.130744636246194e-64,True
722424,35809005,36918862,6,2335,33,50854,3.959820907144248,0.008995822495360227,True
722424,35809005,36516970,11,2330,52,50835,4.6152608121492245,0.00015247943545700025,True
722424,35809005,36211475,31,2310,105,50782,6.490381364667079,2.298462057800772e-13,True
722424,35809005,36918869,38,2303,356,50531,2.3420575019393364,1.2899585115113477e-05,True
722424,35809005,36718132,176,2165,2576,48311,1.5245965601824625,1.1132925962747106e-06,True
722424,35809005,35809016,15,2326,18,50869,18.224777873316135,1.1573092162179165e-11,True
722424,35809005,36314365,10,2331,93,50794,2.3430804075965366,0.019527012464713077,True
722424,35809005,35809013,27,2314,112,50775,5.28971555130263,3.3562889168656644e-10,True
722424,35809005,36718265,74,2267,1087,49800,1.4954778959260686,0.0015610097709428917,True
722424,35809005,36516858,10,2331,70,50817,3.1143592572164,0.0037413773187416023,True
722424,35809005,36516779,26,2315,339,50548,1.674659938709328,0.014884716746334636,True
722424,35809005,35809142,30,2311,309,50578,2.1248314309360468,0.0004174346527565296,True
722424,35809005,36516851,13,2328,110,50777,2.577713995626367,0.004271771905580938,True
722424,35809005,37320096,7,2334,27,50860,5.649496969119934,0.0009257354964766414,True
722424,35809005,36919050,8,2333,52,50835,3.35223713277721,0.006308122509013694,True
722424,35809005,35809083,69,2272,1181,49706,1.2782025557238434,0.03981276818217755,True
722424,35809005,36211385,103,2238,770,50117,2.9955148961851377,1.9152286927926575e-18,True
722424,35809005,36211473,60,2281,553,50334,2.3942102104578034,2.8909467265099707e-08,True
722424,35809005,36918949,31,2310,355,50532,1.9102396195353941,0.0015573824666555117,True
722424,35809005,36718372,38,2303,365,50522,2.2839012842093993,2.0907140178262977e-05,True
722424,35809005,36718556,6,2335,41,50846,3.1866715412336135,0.02086014842800309,True
722424,35809005,36516959,157,2184,1535,49352,2.311231222631874,1.4907045301795146e-17,True
722424,35809005,43053808,475,1866,1018,49869,12.469954011080297,2.093079524163078e-275,True
722424,35809005,36313221,6,2335,30,50857,4.356059957173447,0.006158989310695951,True
722424,35809005,36718555,74,2267,787,50100,2.077988755297403,1.2980076103608468e-07,True
722424,35809005,36211272,7,2334,52,50835,2.9319507613209415,0.01859591124170926,True
722424,35809005,35809054,91,2250,1308,49579,1.533023785253143,0.0002585380613192658,True
722424,35809005,35809243,190,2151,2325,48562,1.8449593337432453,1.7216950477593806e-12,True
722424,35809005,35809017,40,2301,97,50790,9.102272880011828,5.9369436478197765e-21,True
722424,35809005,35809174,10,2331,64,50823,3.4067326254826256,0.002147111117650672,True
722424,35809005,36314347,5,2336,24,50863,4.536155108447488,0.010627621241940608,True
722424,35809005,37622545,7,2334,55,50832,2.771862584716055,0.02359435081563295,True
722424,35809005,37019238,15,2326,178,50709,1.8371583564396612,0.02973723639554972,True
722424,35809005,36516781,21,2320,209,50678,2.194848209866359,0.002001899215176815,True
722424,35809005,36211469,14,2327,54,50833,5.66348342325996,2.9824982113133994e-06,True
