reaction_id,cluster_id,cluster_size
37219911,786,1
36919202,787,1
35205184,788,1
35205236,789,1
36211091,790,1
37622506,791,1
36312073,792,1
36416523,793,1
35708726,794,1
37622438,795,1
36718566,796,1
35909612,797,1
37219905,798,1
35406349,799,1
37420519,800,1
36312852,801,1
35708108,802,1
43562827,803,1
35607313,804,1
35708147,805,1
36416610,806,1
35809236,807,1
42890346,808,1
36516817,809,1
35607485,810,1
35708187,811,1
36311779,812,1
35708093,813,1
36516807,814,1
35707694,815,1
42889533,816,1
36516827,817,1
37219834,818,1
35809151,819,1
35909518,820,1
36718543,821,1
36316348,822,1
37622430,823,1
35205189,824,1
35708156,825,1
35708628,826,1
35809164,827,1
35205272,828,1
36516850,829,1
36314159,830,1
36211127,831,1
35809381,832,1
36718119,833,1
37320213,834,1
35708737,835,1
36211288,836,1
35809180,837,1
37019299,838,1
36718321,839,1
37219867,840,1
36617941,841,1
35506610,842,1
35406369,843,1
36617187,844,1
35607096,845,1
36718038,846,1
36211129,847,1
36718301,848,1
37219952,849,1
35205182,850,1
37622456,851,1
36718218,852,1
42890580,853,1
36416706,854,1
36110693,855,1
35707843,856,1
35205339,857,1
36109999,858,1
36009735,859,1
36313240,860,1
36211433,861,1
37622517,862,1
35809092,863,1
36416525,864,1
36718368,865,1
36416682,866,1
35708206,867,1
36311824,868,1
36516988,869,1
35708129,870,1
36313477,871,1
35809088,872,1
36617206,873,1
35205185,874,1
35607082,875,1
36313741,876,1
35809380,877,1
35708179,878,1
36718598,879,1
35205282,880,1
35708627,881,1
36617934,882,1
36516904,883,1
36516815,884,1
36110581,885,1
35205064,886,1
36617166,887,1
35506601,888,1
36516925,889,1
35205183,890,1
35809129,891,1
35205325,892,1
35708567,893,1
35708169,894,1
36919210,895,1
35707683,896,1
35808914,897,1
35707543,898,1
35708208,899,1
37622481,900,1
36313965,901,1
35707631,902,1
36416501,903,1
36312573,904,1
36617249,905,1
36313276,906,1
36617201,907,1
35809101,908,1
42890167,909,1
36516956,910,1
35406392,911,1
37219865,912,1
35205179,913,1
35707700,914,1
36110116,915,1
36110540,916,1
35707649,917,1
35205241,918,1
36718093,919,1
35809386,920,1
35809400,921,1
37320197,922,1
36416695,923,1
43053717,924,1
36211594,925,1
36516932,926,1
36009957,927,1
36110227,928,1
35708146,929,1
36919042,930,1
36416535,931,1
35708211,932,1
35205315,933,1
37219863,934,1
35708119,935,1
36617300,936,1
35708041,937,1
36416572,938,1
35708128,939,1
35406319,940,1
37622379,941,1
36316391,942,1
36311929,943,1
36009776,944,1
36110459,945,1
42890500,946,1
36211136,947,1
36313476,948,1
36314009,949,1
35708139,950,1
35406331,951,1
36718500,952,1
35708067,953,1
37622528,954,1
35708717,955,1
35708608,956,1
42890545,957,1
36617295,958,1
35506745,959,1
45885696,960,1
36312669,961,1
36516870,962,1
35708692,963,1
37019410,964,1
35809320,965,1
37219798,966,1
35205077,967,1
35707691,968,1
36211119,969,1
36211384,970,1
37219874,971,1
36919048,972,1
36517125,973,1
37019318,974,1
35708242,975,1
36009773,976,1
37220036,977,1
